V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,LocationLatitude,LocationLongitude,LocationAccuracy,
FS_2xJMNJw6uAap9PH,,Anonymous,,,98.239.227.91,0,2015-08-12 07:17:27,2015-08-12 13:17:27,0,,1.899,1.899,3.554,1,4,6.112,6.951,10.099,2,3,0,0,4.047,0,5,1.709,3.106,4.256,2,5,0.995,0.995,3.416,1,38,1.186,2.062,2.547,2,2,0.923,0.923,4.367,1,usa,1.639,1.639,5.099,1,usa,1,3.462,39.498,41.434,6,3,14.678,14.678,16.703,1,2,0.894,0.894,8.154,1,1,1.362,1.362,8.783,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_1ONWsynjchQ1eLt,,Anonymous,,,68.48.128.139,0,2015-08-07 11:14:45,2015-08-07 17:14:45,0,,428.596,428.596,429.831,1,3,0,0,3.579,0,4,2.338,3.974,4.256,2,5,2.403,2.403,2.844,1,5,1.065,1.964,2.553,2,21,0.963,0.963,1.642,1,2,1.058,1.058,3.152,1,USA,1.095,2.185,3.635,2,USA,1,4.388,24.97,26.946,2,10,4.554,7.529,8.018,2,15,1.62,1.62,4.485,1,8,1.412,1.412,2.882,1,15,31.273,32.287,33.36,3,b,2.594,7.433,8.839,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_1q1VWatB2ahRVrZ,,Anonymous,,,24.149.107.214,0,2015-08-07 10:40:15,2015-08-07 16:40:15,0,,9.682,9.682,11,1,4,8.684,8.684,10.069,1,3,0,0,6.611,0,5,0,0,1.992,0,5,0.896,0.896,2.88,1,31,2.659,2.659,3.488,1,2,4.488,4.488,8.11,1,USA,0.939,0.939,4.034,1,USA,1,2.682,79.36,82.426,5,120,0,0,90.005,0,,0.414,14.399,33.351,2,12,1.613,11.771,29.304,3,3,28.9,28.9,35.486,1,A,35.807,35.807,36.943,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_aWTBowkZe9hLfmV,,Anonymous,,,184.57.127.183,0,2015-08-12 06:43:52,2015-08-12 12:43:52,0,,2.623,2.623,4.629,1,5,0,0,9.422,0,3,0,0,5.9,0,5,0,0,3.638,0,5,1.197,1.197,4.482,1,62,1.023,1.023,2.099,1,2,1.299,1.299,5.235,1,USA,1.106,1.637,5.368,2,USA,1,7.665,49.521,56.115,2,10,16.963,16.963,33.853,1,6,44.556,44.556,48.776,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2uKh92hR4Sj7Tct,,Anonymous,,,50.13.112.73,0,2015-08-07 21:04:02,2015-08-08 03:04:02,0,,2.823,2.823,3.867,1,5,0,0,5.19,0,4,0,0,4.465,0,4,0,0,5.605,0,5,1.319,1.319,3.57,1,60,1.266,1.266,2.236,1,1,1.224,1.224,4.103,1,USA,1.278,1.278,3.708,1,USA,1,5.816,31.672,34.893,3,10,16.999,20.86,26.986,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2E9J3A2Xa3du4La,,Anonymous,,,97.84.173.192,0,2015-08-07 10:41:42,2015-08-07 16:41:42,0,,1.809,1.809,5.173,1,3,0,0,5.712,0,4,0,0,3.032,0,5,0,0,3.163,0,5,1.276,1.702,4.597,2,38,0.764,0.764,1.763,1,1,1.065,1.065,4.846,1,United States,0.785,0.785,5.321,1,United States,1,33.328,33.328,36.425,1,10,6.394,6.394,21.633,1,15,22.675,22.675,29.067,1,6,41.299,41.299,43.811,1,7,0,0,90.007,0,,32.046,32.046,34.408,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_32SorMu9J3r1tyI,,Anonymous,,,172.74.178.134,0,2015-08-07 22:52:02,2015-08-08 04:52:02,0,991211921,6.333,6.333,8.341,1,5,0,0,5.472,0,4,0,0,3.347,0,5,0,0,3.652,0,5,1.197,1.197,4.021,1,27,2.079,2.079,3.853,1,1,1.554,1.554,8.633,1,United States of America,1.237,1.237,6.452,1,United States of America,1,11.795,19.192,20.653,2,1,11.51,11.51,34.31,1,3,5.416,41.271,44.694,2,6,6.724,86.763,88.712,4,10,52.354,52.354,60.331,1,c,41.857,41.857,43.255,1,5,,,,,,0,0,389.963,0,1,7.81,7.81,20.807,1,12,28.327,29.044,31.149,2,2,8.401,33.245,35.415,2,6,4.815,4.815,39.344,1,210,56.127,56.127,76.837,1,e,55.952,55.952,57.26,1,3,,,,,,,,,-1,
FS_22PKtVCPJN7ij4n,,Anonymous,,,76.1.241.151,0,2015-08-12 07:48:12,2015-08-12 13:48:12,0,,14.061,19.797,21.824,4,3,11.244,15.572,19.985,3,3,0,0,4.174,0,5,0,0,7.976,0,5,1.375,1.375,4.322,1,51,1.261,1.261,2.544,1,2,11.708,11.708,15.154,1,USA,2.808,2.808,6.288,1,USA,1,4.871,29.144,34.404,4,2,7.119,24.473,29.022,3,3,16.088,16.82,19.774,2,2,18.653,18.653,22.671,1,3,16.502,70.79,73.398,2,a,41.952,62.854,68.839,3,5,17.377,167.327,390.049,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2zeeJQjlofCjdmc,,Anonymous,,,24.115.141.72,0,2015-08-07 12:29:24,2015-08-07 18:29:24,0,,3.697,3.697,5.268,1,5,0,0,5.366,0,3,0,0,5.149,0,5,0,0,5.01,0,5,0.994,2.746,3.137,2,33,2.478,2.478,6.794,1,2,19.189,19.189,44.186,1,United States,1.009,8.272,11.617,3,United States,1,2.185,14.796,16.374,3,14,5.649,5.649,13.569,1,3,13.34,13.34,15.511,1,6,4.567,23.871,24.554,4,8,47.232,47.232,49.457,1,e,21.459,21.459,22.563,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_3nkCFrLYZcRcPL6,,Anonymous,,,98.216.86.25,0,2015-08-11 23:00:02,2015-08-12 05:00:02,0,,2.926,2.926,5.399,1,5,0,0,11.995,0,3,0,0,3.955,0,5,0,0,4.038,0,5,1.465,1.465,3.267,1,45,1.122,1.122,1.94,1,2,1.185,1.185,5.187,1,Syria,0.864,0.864,3.826,1,USA,1,2.468,15.964,85.404,4,10,1.501,86.933,90.006,2,,1.895,1.895,47.602,1,6,1.562,1.576,73.503,2,8,62.115,62.115,64.315,1,b,64.833,64.833,67.583,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_xfnXK7GqtCLeJTX,,Anonymous,,,204.16.9.53,0,2015-08-07 10:39:05,2015-08-07 16:39:05,0,,3.485,3.485,6.124,1,5,4.518,4.863,13.228,2,2,0,0,11.853,0,5,0,0,6.007,0,5,1.741,1.741,11.436,1,31,1.548,1.548,3.893,1,2,1.644,1.644,10.257,1,United States,2.085,2.085,12.345,1,United States,1,14.062,23.512,27.266,3,2,8.142,8.142,15.825,1,1,16.863,16.863,23.57,1,2,9.155,17.983,21.403,4,1,0.631,32.487,39.743,7,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_OxsVrXByDBussI9,,Anonymous,,,162.192.135.45,0,2015-08-12 09:58:17,2015-08-12 15:58:17,0,908504448,2.149,2.149,3.396,1,4,0,0,5.731,0,3,2.962,2.978,4.657,2,5,0,0,2.968,0,5,1.06,1.563,5.589,5,33,2.587,2.587,6.647,1,2,11.034,11.034,36.842,1,United States,2.423,2.423,11.242,1,united states,1,17.201,31.419,33.786,6,10,8.673,8.673,11.427,1,15,1.36,1.36,13.756,1,8,1.596,2.27,4.687,2,15,19.829,19.829,35.589,1,c,30.35,30.35,32.12,1,1,0,0,390.977,0,1,,,,,,0,0,91.275,0,,28.452,28.452,33.078,1,9,1.67,2.047,5.124,2,8,0.847,0.847,5.534,1,21,2.589,2.589,11.834,1,e,10,10,11.093,1,2,0,0,1.247,0,1,,,,-1,
FS_3IXiiHGUUOtYl8h,,Anonymous,,,117.207.253.12,0,2015-08-07 11:10:16,2015-08-07 17:10:16,0,,2.744,234.44,235.513,2,5,0,0,41.221,0,3,0,0,4.996,0,4,0,0,4.399,0,3,1.461,1.461,4.341,1,27,1.192,1.192,2.008,1,1,1.456,1.456,5.233,1,India,1.147,1.147,4.891,1,India,1,10.423,10.423,16.959,1,1,11.061,11.061,38.683,1,1,8.97,8.97,35.515,1,2,15.006,15.006,23.248,1,3,81.067,81.067,83.512,1,a,41.543,41.543,42.8,1,4,,,,,,27.253,266.492,390.01,5,1,23.789,41.364,47.212,2,30,42.832,49.112,51.241,2,3,21.482,41.658,58.098,3,4,50.021,82.326,88.39,4,30,,,,,,,,,,,,,,,,,,,-1,
FS_2BaPlrxusngnsl6,,Anonymous,,,14.96.105.134,0,2015-08-07 12:27:47,2015-08-07 18:27:47,0,,1.902,5.633,6.786,4,5,3.883,3.883,7.079,1,2,0,0,3.816,0,5,0,0,3.273,0,4,1.827,1.827,3.624,1,33,1.56,1.56,2.655,1,1,1.872,1.872,4.381,1,india,1.647,2.15,4.675,2,india,1,2.042,8.175,37.166,4,2,2.85,23.523,28.497,2,1,14.208,31.182,34.429,6,1,4.299,66.504,67.228,13,3,1.236,57.247,59.286,15,b,3.903,73.923,75.667,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_3PWRpS0UsBySEtI,,Anonymous,,,117.206.142.204,0,2015-08-07 11:27:26,2015-08-07 17:27:26,0,,34.414,34.414,38.547,1,6,0,0,7.556,0,4,0,0,3.395,0,5,0,0,2.583,0,5,1.455,1.455,3.344,1,32,0.987,0.987,1.949,1,1,1.375,1.375,9.134,1,India,1.626,1.626,5.545,1,India,1,5.36,5.36,34.972,1,2,1.394,1.394,16.896,1,1,15.55,15.55,18.976,1,1,10.575,10.575,13.082,1,3,26.91,26.91,29.8,1,e,35.14,35.14,36.304,1,2,0,0,226.837,0,1,,,,,,2.187,2.187,14.267,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
