"ftobama","ftblack","ftwhite","fthisp","fthrc","ftsanders","race_white","gender","presjob","econnow","birthyr"
20,50,61,50,10,10,1,2,5,4,1941
31,90,96,88,4,49,1,2,4,3,1950
50,48,45,71,1,67,0,1,6,2,1938
1,61,62,58,3,11,1,1,7,5,1960
16,50,63,70,4,41,0,1,4,2,1978
2,90,86,83,59,64,1,2,7,4,1948
100,80,100,70,100,70,1,1,1,1,1959
89,57,60,100,97,75,0,1,2,1,1961
75,75,75,100,86,67,1,2,2,2,1956
7,76,100,76,4,17,1,1,6,3,1977
89,95,45,85,71,66,0,1,2,2,1959
2,50,45,65,6,51,1,2,7,5,1955
3,15,74,9,0,2,1,1,7,3,1982
95,60,75,80,65,100,1,1,1,2,1965
9,12,50,50,4,70,1,2,7,2,1975
0,23,78,0,40,71,1,2,7,3,1964
0,1,100,2,1,0,1,1,7,2,1953
31,88,92,90,12,29,1,2,5,3,1950
1,45,96,21,0,30,1,2,7,4,1955
75,66,68,48,70,51,1,1,2,3,1972
100,95,85,75,100,95,0,1,1,2,1955
0,100,100,100,0,50,1,1,7,3,1964
0,92,95,97,0,1,1,1,7,5,1958
90,99,100,100,66,100,1,1,2,1,1953
1,70,95,60,1,1,1,2,7,4,1942
0,100,100,100,0,31,1,2,7,5,1950
95,100,100,100,100,90,0,2,2,3,1964
90,86,86,71,85,67,1,1,2,2,1946
47,48,35,92,33,50,0,2,3,2,1972
2,72,92,74,1,41,1,1,7,5,1938
0,93,85,94,0,1,1,1,7,4,1954
16,60,73,68,24,27,1,2,6,4,1954
5,50,50,50,0,55,1,1,6,4,1990
78,50,51,49,41,60,0,2,2,3,1981
0,9,100,53,0,0,1,1,7,5,1950
1,55,51,39,6,5,1,2,7,4,1980
91,87,88,85,75,86,1,2,2,2,1940
6,100,100,66,0,0,1,1,7,5,1936
97,100,55,100,61,100,0,2,1,2,1961
3,19,61,30,1,9,1,2,7,3,1986
0,51,98,51,0,12,1,1,7,4,1954
2,58,68,55,1,65,1,1,7,4,1959
25,76,76,74,12,72,1,2,6,3,1959
88,80,99,97,100,95,1,2,1,2,1968
10,51,79,50,1,10,1,1,7,5,1946
23,83,67,38,13,28,1,2,7,4,1932
0,10,95,10,0,0,1,2,7,4,1957
72,87,54,53,73,86,0,2,3,3,1955
39,51,50,51,9,30,1,1,6,3,1979
100,75,50,80,75,0,1,2,1,4,1975
88,97,70,94,42,99,1,2,2,2,1956
3,85,100,91,6,31,1,1,7,3,1973
0,50,50,70,0,2,1,2,7,5,1953
0,50,0,49,0,2,1,2,7,5,1980
79,88,64,91,88,88,1,2,1,2,1952
75,100,100,100,70,90,1,1,2,2,1974
2,70,72,72,12,5,1,2,7,4,1957
11,43,53,43,24,15,1,1,7,2,1982
4,50,50,50,3,20,0,2,7,5,1961
0,82,91,88,0,0,1,1,7,3,1925
1,2,70,2,0,1,1,1,7,5,1980
21,52,91,88,1,53,1,1,7,3,1952
71,50,50,50,35,100,1,2,2,2,1984
26,59,98,51,9,2,1,2,7,5,1960
3,87,99,57,15,22,1,1,7,4,1937
100,97,86,87,97,84,1,1,1,1,1978
87,91,80,99,95,99,1,2,2,3,1961
88,61,40,45,61,65,0,1,2,2,1954
5,50,55,52,4,4,1,2,7,4,1960
3,49,56,51,8,41,1,2,7,4,1952
59,71,71,72,85,70,0,2,2,2,1941
3,0,99,19,0,2,1,1,7,5,1941
75,83,87,77,54,77,1,2,2,2,1961
1,27,70,44,4,4,1,1,7,3,1989
13,62,98,59,4,3,1,1,7,4,1967
0,55,42,61,0,41,1,2,7,3,1962
78,79,73,80,63,76,0,1,3,2,1976
46,58,75,71,65,40,1,2,3,3,1955
0,85,85,85,0,45,1,1,7,5,1959
72,96,91,93,89,90,1,2,5,2,1956
34,70,52,80,8,33,1,2,6,4,1951
44,75,78,69,16,59,1,2,6,3,1947
5,89,87,84,4,51,1,1,7,5,1947
4,50,50,39,11,1,1,2,7,3,1984
0,100,100,100,0,16,1,2,7,5,1939
95,100,100,100,50,96,1,2,2,2,1978
17,70,70,70,30,70,1,2,6,3,1932
100,63,62,67,47,16,1,2,1,3,1973
60,99,100,98,100,30,1,2,3,3,1955
3,41,53,46,1,14,1,2,7,3,1970
26,50,51,50,0,31,1,1,7,3,1942
24,66,99,63,1,47,1,2,6,4,1960
96,72,84,68,75,92,1,2,1,2,1958
1,50,50,50,1,20,1,1,7,4,1946
95,75,88,70,80,97,1,2,1,2,1972
7,50,83,60,2,24,1,1,7,5,1972
65,53,53,52,49,61,1,2,4,3,1988
0,51,51,51,0,20,1,1,7,5,1963
0,46,60,50,0,45,1,1,7,3,1965
95,69,11,47,33,86,1,1,2,3,1988
84,87,73,85,98,44,1,1,2,1,1948
1,51,60,70,0,1,1,1,7,3,1976
64,38,17,34,79,68,0,1,4,3,1977
6,30,100,50,1,60,1,2,7,5,1954
98,58,31,52,89,53,0,2,2,1,1955
70,100,100,100,0,78,1,2,3,3,1977
82,100,100,100,49,53,1,2,2,2,1963
31,50,50,50,40,41,1,1,6,4,1983
14,14,50,30,3,22,1,2,6,3,1976
99,64,48,49,96,99,1,2,2,2,1964
100,81,78,100,98,83,1,2,1,1,1959
60,80,80,80,55,50,1,1,4,2,1977
70,44,94,50,89,67,1,1,3,3,1975
62,50,61,50,80,56,1,1,3,3,1953
0,50,80,52,0,0,1,1,7,5,1966
98,60,88,49,86,31,1,2,2,3,1956
1,82,100,75,4,12,1,1,7,3,1956
2,49,52,21,0,15,1,2,7,4,1933
96,50,50,50,94,71,1,2,2,2,1954
95,59,97,6,91,75,1,2,3,2,1939
0,100,100,100,0,0,0,1,7,5,1958
30,24,25,22,2,28,1,2,6,2,1957
73,78,79,75,59,82,1,2,2,3,1988
86,70,42,61,95,41,0,1,2,2,1954
16,50,50,50,12,16,1,1,7,4,1956
99,79,69,100,98,69,0,1,1,4,1941
5,50,51,49,3,21,1,2,7,5,1938
10,31,59,40,5,17,1,1,7,4,1936
1,51,70,2,1,2,1,1,7,4,1957
73,92,70,91,73,41,1,1,3,2,1967
98,80,90,90,90,80,0,1,1,1,1956
91,88,90,91,62,94,1,2,1,3,1933
61,85,85,85,36,91,1,1,3,2,1996
81,93,62,98,80,99,1,1,2,2,1955
98,99,98,97,67,99,1,2,1,2,1952
9,19,98,51,5,28,1,2,7,3,1975
0,50,50,50,0,30,0,1,7,3,1988
1,50,50,50,1,1,1,1,6,3,1957
100,100,99,100,100,99,0,2,1,1,1947
4,15,100,20,1,2,1,1,7,4,1959
89,69,71,70,31,100,1,2,1,2,1946
93,56,73,64,71,84,1,2,1,2,1977
0,55,55,22,1,2,0,1,7,5,1958
5,63,83,36,6,6,1,1,7,4,1956
0,89,89,75,0,51,1,2,7,3,1952
43,72,71,63,51,16,1,2,6,2,1955
97,95,75,98,88,86,1,1,1,1,1949
90,100,50,62,91,74,0,1,2,2,1954
6,50,50,50,6,69,1,1,7,5,1951
14,71,75,47,18,18,1,2,6,3,1956
44,100,100,100,100,76,0,1,3,2,1961
56,75,80,70,30,74,1,2,4,4,1943
26,46,47,11,3,49,1,2,6,4,1961
10,47,70,50,41,40,1,2,7,4,1940
51,55,53,55,65,57,0,1,2,3,1986
25,87,99,100,52,36,0,1,7,3,1980
88,76,52,81,70,75,1,2,2,3,1947
68,91,90,80,69,59,1,2,4,4,1965
0,41,85,61,0,32,1,1,7,4,1954
4,93,85,87,2,20,1,2,7,3,1961
88,86,87,82,98,97,1,2,2,3,1951
0,50,50,51,0,2,1,1,7,3,1965
81,71,70,71,52,84,1,2,2,2,1950
0,50,64,89,0,1,1,2,7,4,1964
70,67,77,99,85,96,0,2,2,1,1943
53,50,54,50,52,50,0,2,4,3,1969
1,48,69,62,1,38,1,2,7,4,1943
0,39,57,37,2,4,1,2,7,3,1957
68,100,100,100,20,6,1,2,4,3,1961
99,98,99,94,97,97,1,2,2,3,1945
0,81,49,81,0,0,0,2,7,4,1955
84,79,98,92,71,94,0,2,2,5,1963
0,50,50,51,0,0,1,1,7,3,1976
34,77,75,78,11,63,0,2,5,3,1983
2,50,50,50,1,22,1,1,7,3,1954
1,60,90,69,0,1,1,2,7,5,1926
79,66,87,50,71,17,1,2,2,1,1972
3,96,100,100,64,71,1,1,7,3,1965
50,100,100,89,50,50,1,2,4,3,1955
7,84,91,56,2,1,1,2,7,3,1947
100,57,71,100,100,91,0,1,1,1,1951
1,59,75,80,1,6,1,1,7,3,1940
100,99,33,48,81,39,0,2,1,3,1984
88,56,84,54,83,51,1,2,2,3,1956
100,99,90,91,99,6,0,2,1,1,1960
0,29,73,66,1,2,1,2,7,5,1943
2,58,99,84,2,19,1,2,7,5,1972
91,39,93,55,75,7,1,2,2,3,1972
0,51,72,72,10,5,1,1,7,4,1974
75,69,69,3,60,100,1,1,2,3,1973
71,94,84,98,94,23,1,2,4,3,1946
40,79,77,72,61,59,1,1,6,4,1949
50,50,50,50,49,50,0,1,4,3,1968
98,69,52,87,93,64,1,2,1,2,1968
1,76,78,67,1,12,1,2,7,4,1960
88,61,71,71,96,88,1,2,2,2,1945
16,73,48,48,9,1,1,1,7,3,1981
46,84,85,43,65,75,0,1,5,2,1992
91,88,84,67,97,71,0,2,1,2,1950
0,86,85,86,1,0,1,1,7,5,1947
0,50,100,41,0,0,1,1,7,3,1975
1,50,50,50,1,1,1,2,7,4,1945
60,50,50,50,6,97,1,1,4,4,1942
99,85,89,91,97,72,0,2,1,1,1943
67,100,100,88,100,50,0,1,4,4,1951
5,96,99,98,100,19,1,2,6,5,1943
0,76,50,50,0,2,1,2,7,5,1956
0,75,100,99,0,1,1,2,7,3,1939
95,90,90,80,90,100,1,2,1,2,1954
30,50,60,50,60,90,1,1,3,2,1936
67,63,70,50,44,57,1,2,4,3,1963
89,70,49,80,60,100,0,1,2,2,1974
0,59,60,73,0,2,1,2,7,4,1985
2,51,66,59,1,49,1,2,7,5,1950
96,84,78,87,82,1,1,1,2,2,1954
0,69,95,74,0,0,1,2,7,3,1961
1,38,100,90,64,30,1,1,7,5,1943
100,96,88,88,74,68,0,2,2,2,1990
49,76,87,80,41,84,1,2,5,3,1966
15,51,51,50,21,1,1,1,6,3,1955
90,60,80,70,30,84,1,1,2,2,1953
5,50,50,50,0,5,0,2,7,4,1951
70,74,97,89,85,46,1,1,2,2,1951
30,50,51,51,31,38,1,2,6,3,1978
61,0,99,0,0,100,1,1,3,4,1949
70,61,75,3,20,61,1,1,3,3,1957
86,53,97,66,69,3,1,1,3,4,1981
1,2,100,1,1,2,1,1,7,3,1971
19,85,85,86,25,15,1,2,7,3,1943
0,50,90,49,0,0,1,2,7,5,1956
99,63,67,75,79,100,1,2,1,1,1960
90,50,61,59,11,40,0,2,2,4,1962
3,56,79,42,55,50,1,2,6,2,1962
100,51,50,52,100,50,0,2,1,1,1947
2,40,60,51,1,2,1,1,7,5,1958
0,51,50,51,0,10,1,1,7,4,1954
1,66,70,62,0,1,1,2,7,5,1958
51,40,61,19,58,62,1,1,6,4,1965
100,100,71,75,90,70,0,2,1,1,1955
5,55,66,64,3,3,1,2,7,5,1947
9,50,50,50,2,6,1,1,6,3,1993
1,98,100,74,0,3,1,2,7,5,1950
0,50,50,50,0,0,1,1,7,4,1967
0,50,50,50,0,0,1,1,7,4,1974
90,63,80,51,71,59,0,2,2,5,1965
100,50,0,50,99,76,0,1,1,1,1992
60,80,30,50,0,50,0,2,2,2,1982
95,100,82,97,99,88,0,2,1,1,1957
11,4,50,50,25,6,1,1,7,4,1954
75,59,60,65,65,51,1,1,3,3,1964
76,65,95,16,6,18,1,2,2,2,1988
41,75,75,46,67,80,1,1,5,4,1982
1,12,100,51,0,1,1,2,7,5,1973
98,90,50,52,91,74,0,1,1,2,1952
79,36,93,31,58,76,1,2,2,3,1957
98,99,71,96,99,2,0,1,1,3,1975
94,37,96,27,75,58,1,2,3,3,1984
1,89,85,85,1,7,1,1,7,4,1982
19,70,94,85,47,74,1,1,7,3,1952
1,75,76,51,1,50,1,1,7,5,1945
1,50,50,100,1,1,0,1,7,4,1956
83,98,51,50,51,93,1,2,2,2,1980
4,49,64,50,30,49,1,2,6,3,1973
3,66,61,59,2,34,1,1,7,5,1974
100,98,79,77,100,7,0,2,1,3,1949
4,59,59,70,11,5,1,1,7,3,1945
87,98,69,100,100,47,0,2,2,2,1957
6,11,100,10,1,0,1,2,7,5,1940
90,75,75,76,91,88,0,1,2,3,1988
100,100,50,96,100,99,0,1,1,2,1945
0,52,53,53,0,3,1,2,7,4,1954
94,97,61,95,82,96,0,2,2,3,1975
1,40,50,40,1,30,1,1,7,3,1961
3,49,85,62,1,5,1,2,7,3,1961
94,50,53,88,81,91,1,2,2,2,1960
2,50,53,52,2,2,0,1,7,5,1947
6,50,50,50,4,6,1,2,7,4,1953
5,70,90,70,3,5,1,1,7,3,1950
90,61,88,60,60,90,1,2,2,2,1980
89,100,70,51,100,51,1,2,5,4,1955
2,998,42,29,19,20,1,2,7,4,1942
3,90,80,43,5,30,1,1,7,4,1927
5,51,50,51,4,2,1,1,7,5,1950
1,85,85,85,1,1,0,2,7,2,1957
31,89,97,50,0,50,1,1,5,2,1952
100,99,31,99,75,75,0,1,1,3,1975
72,70,75,80,49,55,0,2,2,3,1980
1,50,51,60,1,16,1,1,7,5,1946
85,72,60,60,52,54,1,1,2,4,1945
86,100,75,90,70,100,1,1,2,2,1954
95,71,80,87,76,86,1,2,1,2,1956
1,18,59,25,0,0,1,2,7,5,1958
60,80,80,80,85,90,1,1,3,2,1957
66,83,84,75,72,75,1,1,3,2,1956
0,61,70,50,0,21,1,2,7,4,1948
95,99,75,74,89,88,0,2,2,5,1953
1,93,82,94,1,5,1,1,7,4,1954
90,97,80,94,60,99,1,2,2,2,1951
0,50,100,50,0,50,1,2,7,3,1960
6,70,70,70,21,32,1,2,6,3,1959
2,63,69,48,1,19,1,2,7,4,1953
75,87,86,89,63,98,0,2,2,2,1950
1,85,85,95,2,2,1,1,7,4,1937
0,99,100,71,0,0,1,1,7,5,1964
1,54,60,60,1,30,1,2,7,3,1961
84,72,56,71,84,69,1,1,2,2,1953
52,51,60,35,18,40,1,2,3,4,1956
10,50,44,60,23,30,1,1,7,4,1953
59,99,99,99,41,41,1,2,3,3,1964
80,60,70,85,75,95,0,1,2,2,1976
0,40,89,60,0,5,1,1,7,5,1942
43,998,99,7,30,998,1,2,3,3,1961
0,15,75,15,0,0,1,1,7,5,1952
57,50,100,59,84,42,1,2,5,3,1956
0,39,90,70,5,11,1,1,7,4,1968
3,34,81,46,0,23,1,1,7,4,1972
59,50,97,64,56,58,1,2,3,4,1965
32,100,100,90,41,100,1,2,5,4,1958
56,92,71,64,66,32,0,2,2,2,1960
81,71,74,74,77,90,1,1,2,2,1989
10,61,50,80,11,6,1,1,7,3,1950
70,70,69,86,71,31,0,2,3,3,1967
84,91,81,88,100,22,1,2,2,5,1944
9,45,50,41,1,21,1,1,7,4,1949
59,59,71,50,64,59,1,2,3,2,1980
86,52,52,52,85,78,1,2,2,2,1966
80,30,50,50,75,65,1,1,2,1,1980
94,99,79,81,77,91,0,1,1,1,1989
5,50,52,50,7,20,1,1,7,3,1970
99,71,97,89,72,85,1,1,1,4,1945
0,90,90,90,0,0,1,2,7,5,1990
0,50,50,42,5,0,0,1,7,5,1946
100,50,50,50,85,85,0,1,1,2,1961
96,76,60,64,74,84,0,2,1,1,1984
5,56,48,41,33,5,1,1,3,3,1994
0,89,90,87,0,6,1,2,7,4,1938
0,100,100,100,0,0,1,2,7,4,1971
3,26,100,38,1,37,1,2,7,3,1986
3,94,100,99,96,85,1,1,1,1,1951
8,50,50,50,3,4,0,2,7,4,1983
2,50,89,1,0,40,1,2,7,5,1942
100,100,100,100,100,100,0,2,1,1,1961
0,90,71,71,0,30,1,2,7,5,1945
82,75,67,45,79,39,0,1,2,2,1974
100,84,87,85,78,100,1,1,1,2,1952
54,49,69,47,76,55,1,2,4,3,1977
99,80,75,74,99,0,1,2,1,1,1941
0,93,2,44,1,3,0,1,7,4,1974
63,79,69,63,70,30,1,2,3,3,1968
20,50,50,95,16,50,0,1,6,3,1957
98,94,78,84,85,87,0,2,2,3,1959
0,50,100,50,0,15,1,2,6,4,1955
100,81,90,71,99,98,1,1,1,1,1949
1,100,100,100,1,1,0,1,7,3,1962
90,96,97,95,51,86,1,1,2,2,1951
19,41,86,34,18,9,1,2,6,2,1953
6,50,59,21,5,9,0,2,7,5,1959
70,75,88,74,95,51,0,2,3,3,1973
15,63,70,49,81,73,1,2,7,5,1945
0,34,100,55,19,62,1,2,7,4,1959
89,51,50,50,60,94,1,2,2,2,1985
