"CaseID","weight","tm_start","tm_finish","duration","C1","C2","C3","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","RFQ1","RFQ2","RFQ3","REI1","REI2","REI3","REI4","MR1","MR2","MR3","EPQ1","EPQ2","EPQ3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","DPES1","DPES2","DPES3","DPES4","DPES5","DPES6","DPES7","DPES8","DPES9","DPES10","DPES11","DPES12","DPES13","DPES14","DPES15","DPES16","DPES17","DPES18","DPES19","DPES20","DPES21","DIT0","DIT1","DIT2","DIT3","DIT4","DIT5","DIT6","DIT7","DIT8","DIT9","DIT10","DIT11","DIT12","RANK_DIT1","RANK_DIT2","RANK_DIT3","RANK_DIT4","RANK_DIT5","RANK_DIT6","RANK_DIT7","RANK_DIT8","RANK_DIT9","RANK_DIT10","RANK_DIT11","RANK_DIT12","MELS1","MELS2","MELS3","MELS4","MELS5","MELS6","MELS7","MELS8","MELS9","MELS10","MELS11","MELS12","MOPS11","MOPS12","Dov_mops101","Dov_mops102","Dov_mops103","Dov_mops104","Dov_mops105","Dov_mops106","Dov_mops107","Dov_mops108","Dov_mops109","Dov_mops110","Dov_mops111","Dov_mops112","Dov_mops113","MOPS21","MOPS22","Dov_mops201","Dov_mops202","Dov_mops203","Dov_mops204","Dov_mops205","Dov_mops206","Dov_mops207","Dov_mops208","Dov_mops209","Dov_mops210","Dov_mops211","Dov_mops212","Dov_mops213","Dov_mops301","Dov_mops302","Dov_mops303","Dov_mops304","Dov_mops305","Dov_mops306","Dov_mops307","Dov_mops308","Dov_mops309","Dov_mops310","Dov_mops311","Dov_mops312","MOPS3_01","MOPS3_02","MOPS3_03","MOPS3_04","MOPS3_05","MOPS3_06","MOPS3_07","MOPS3_08","MOPS3_09","MOPS3_10","MOPS3_11","MOPS3_12","MFSS1","MFSS2","MFSS3","MFSS4","MFSS5","MFSS6","MFSS7","MFSS8","MFSS9","MFSS10","MFSS11","MFSS12","MFSS13","MFSS14","MFSS15","MFSS16","MFSS17","MFSS18","MI1","MI2","MI3","MI4","MI5","MI6","MI7","MI8","MI9","MI10","CRQ1","CQR2_A","CQR2_B","CQR2_C","CQR2_D","IS1","IS2","IS3","IS4","IS5","IS6","IS7","IS8","IS9","IS10","SV1","SV2","SV3","SV4","SV5","SV6","SV7","SV8","SV9","SV10","SV11","SV12","SV13","SV14","SV15","SV16","SV17","SV18","SV19","SV20","SV21","TET1","TET2","TET3","TET4","TET5","TET6","TET7","TET8","TET9","TET10","TET11","TET12","TET13","TET14","TET15","Dov_version","Block15","EVA1","EVA2","EVA3","EVA4","EVA5","EVA6","EVA7","EVA8","EVA9","EVA10","EVA11","EVA12","Dov_game","Block17","PPAGE","ppagecat","ppagect4","PPEDUC","PPEDUCAT","PPETHM","PPGENDER","PPHHHEAD","PPHHSIZE","PPHOUSE","PPINCIMP","PPMARIT","PPMSACAT","PPREG4","ppreg9","PPRENT","PPSTATEN","PPT01","PPT1317","PPT18OV","PPT25","PPT612","PPWORK","PPNET","FR1","CORE_EMP","core_par","PPINCCAT","EVER_PAR","PPADOPT2","ppcu0153","ppfs0681","ppfs0682","ppfs0683","ppfs0684","ppfs0685","ppfs0686","ppfs0687","ppfs0678","ppfs0679","ppfs0680","pph10001","pph10002","pph10055","pph10056","pph10057","pph10059","pph10060","pph10061","pph10083","pph10084","pph10085","pph10087","pph10088","pph10089","pph10219","pph10220","pph10221","pph10252","pph10253","pph10254","pph10255","pph10256","pph10257","pph1anxi","pph1depr","pph1inso","pph1ment","pphi0016","pphi0018","pphi0041","pphi0046","pphi0047","pphi0048","ppl10003","ppl10004","ppl10005","ppl10007","ppl10008","ppl10009","ppl10012","ppl10013","ppl10014","ppl10017","ppl10018","ppl10019","ppl10021","ppl10055","pppa0012","pppa0073","pppa0074","pppa0075","pppa0076","pppa0077","pppa0078","pppa0079","pppa0080","pppa0081","pppa0082","pppa0083","pppa0084","pppa0085","pppa0206","pppa0207","pppa0208","pppa0209","pppa0210","pppa0211","pppa0212","pppa0213","Display_time","Block7_page_time","DIT1_time","DIT1_RANK_time","Block4_time","Block9_time","Block14A_time","Block8_time","Block8_MOPS1_time","Block8_MOPS2_time","Block8_MOPS3_time","Block11_CRQ1_time","Block11_CQR2_time","Block6_time","Block14B_time","Block5_time","Block13_time","Block10_time","I9_time","SantaClara_time","Block2_time","I10_time","Block1_time","Block3_time","Block14C_time","Block16_time","IntroB15_time","Block15_time","Block12_time","Q1_time","Q42_time","Q43_time","Q44_time","Q45_time","Q1_health_time","Q4_time","Q19_time","Q35_time","Q36_time","Q1_LIFE1_time","Q1_LIFE2_time","Q1_LIFE3_time","Q2_time","Q3_LIFE_time","Q12_LIFE_time","FR1_time","Q20_Loop_2_time","Q37_time","Q20_Loop_1_time","Q20_Loop_4_time","pppa0233","pppa0016","pppa0017","pppa0035","pppa0041","pppa0042","pppa0043","pppa0044","pppa0045","pppa0046","pppa0047","pppa0048","pppa0049","pppa0050","pppa0051","pppa0070","pppa0071","pppa0086","pppa0087","pppa0088","pppa0089","pppa0090","pppa0092","pppa0093","pppa0094","pppa0095","pppa0096","pppa0097","pppa0098","pppa0099","pppa0100","pppa0101","pppa0102","partyid7","pppa0005","pppa0006","ppp20072"
140,0.48,3/12/2012,3/13/2012,26,3,2,4,1,3,2,3,4,3,3,5,5,4,7,7,7,3,4,5,3,4,7,3,4,5,7,6,6,5,7,1,3,4,5,6,6,7,1,4,5,2,6,6,7,6,5,6,4,7,5,7,4,5,5,4,4,7,6,7,6,6,5,6,1,3,5,4,1,5,3,5,4,3,4,3,3,-1,2,-1,-1,3,-1,-1,4,-1,-1,-1,3,7,7,7,5,1,1,4,5,4,6,7,2,8,6,0,0,0,0,0,1,0,1,0,0,0,0,0,5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,,3,3,,5,5,5,5,,,,,5,8,8,8,8,5,8,6,5,5,8,7,5,5,8,8,8,8,7,6,4,1,4,4,1,1,2,6,4,3,1,2,7,1,3,1,5,3,4,1,1,4,5,2,3,1,1,6,2,3,2,4,2,2,2,3,2,1,2,2,1,1,4,1,1,2,2,2,3,5,4,3,5,4,5,4,4,5,4,1,2,5,5,1,5,1,5,1,3,3,4,3,1,1,6,52,4,3,10,3,1,1,1,4,1,19,1,1,1,1,1,14,0,1,3,0,0,1,1,"",0,1,4,1,2,1,3,3,1,1,3,4,3,4,1,1,2,1,-2,-2,-2,-2,-2,-2,1,1,0,0,0,0,4,2,-2,1,1,0,0,0,0,0,1,0,1,,,,,,,4,3,5,1,5,4,3,3,2,3,3,40,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,44,110,204,56,134,28,81,26,20,31,42,38,87,38,107,136,74,6,12,28,6,21,35,22,45,7,29,74,,,,,,,,,,,,,,,,,3,,,,,4,2,3,2,2,5,3,2,4,1,1,3,1,5,6,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,5
142,0.34,3/12/2012,3/13/2012,40,3,2,4,3,3,5,5,5,3,5,5,5,4,7,7,7,1,4,4,4,5,5,6,3,5,5,4,3,3,4,2,1,4,5,5,5,4,3,5,4,5,6,5,5,5,5,5,4,5,4,6,3,3,4,4,4,5,2,5,4,2,5,4,3,5,1,1,1,1,5,1,1,1,1,-1,1,1,-1,3,-1,-1,2,-1,4,-1,-1,-1,-1,6,7,6,2,1,-1,3,3,5,3,2,2,9,2,0,1,0,0,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,3,1,,,3,,3,3,3,,,,8,8,8,8,8,1,8,8,8,8,1,7,6,7,8,8,1,8,6,6,1,1,6,1,2,1,6,6,4,3,5,1,7,1,4,1,4,3,4,1,1,4,5,3,6,3,5,3,4,3,4,4,5,2,4,4,4,6,4,5,1,4,5,4,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,1,2,5,5,1,5,1,4,2,3,3,3,2,1,1,11,62,5,4,9,2,1,2,1,1,3,5,3,1,3,7,2,74,0,0,1,0,0,4,1,"",1,0,2,1,3,1,3,3,1,2,2,2,1,3,3,3,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,-2,-2,-2,-2,-2,-2,0,0,0,0,,,,,,,6,6,3,4,5,3,3,5,2,5,2,0,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,56,156,151,80,240,43,153,30,24,89,51,74,175,35,184,223,134,7,16,34,8,30,43,36,76,27,27,98,,,,,,,,,,,,,,,,,12,,,,,4,3,3,2,5,5,2,3,2,6,1,6,3,6,6,13,-2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,1,2,5
143,0.17,3/12/2012,3/13/2012,52,2,2,1,1,5,5,3,1,5,2,5,2,2,1,1,1,5,5,4,4,7,2,2,7,7,7,2,5,1,1,2,2,7,7,6,4,1,2,7,7,6,7,7,7,6,7,7,6,6,5,7,4,6,6,6,6,7,2,6,6,5,6,5,3,5,5,3,1,1,5,5,5,1,5,1,3,4,-1,-1,-1,-1,-1,1,2,-1,3,-1,-1,7,7,7,1,1,5,7,3,7,7,7,1,2,9,0,1,0,0,0,0,0,0,1,0,0,0,0,8,11,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,4,5,,4,,,,2,5,,1,,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,8,6,6,1,1,4,6,2,4,6,6,4,1,1,1,7,1,1,1,5,1,5,1,1,5,5,2,6,1,6,1,2,1,2,4,3,1,4,4,6,4,5,5,4,2,2,3,3,3,5,1,5,4,3,3,4,4,1,2,2,3,2,2,1,5,5,5,4,4,4,5,3,4,5,2,4,2,11,66,6,4,13,4,1,1,1,2,1,17,1,1,3,7,1,74,0,0,2,0,0,5,1,"",1,0,4,1,1,1,4,4,1,1,2,4,3,3,2,1,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,,,,,,,6,6,5,6,5,6,5,5,2,1,4,0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,73,70,250,127,67,728,137,142,42,30,52,58,63,161,62,139,220,102,9,21,36,9,93,49,42,86,21,44,101,,,,,,,,,,,,,,,,,26,,,,,11,5,5,1,5,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,6
144,3.03,3/12/2012,3/13/2012,32,3,3,3,3,2,3,2,3,2,4,5,4,2,5,5,5,3,2,3,3,2,5,4,2,2,4,4,6,5,5,3,2,5,3,7,5,5,4,5,2,2,5,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,1,1,4,3,2,5,3,4,3,3,3,3,3,-1,2,-1,-1,1,-1,3,-1,-1,-1,-1,4,5,5,5,1,1,1,1,2,4,4,1,1,9,2,0,1,0,0,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,3,1,,,3,,,2,1,2,,,4,8,8,4,8,4,8,4,4,8,1,5,4,4,8,8,8,8,7,7,4,1,7,4,2,7,7,7,1,4,2,4,3,3,3,3,2,3,3,4,4,3,3,1,2,1,1,2,1,3,1,2,2,1,1,1,3,1,3,2,2,1,2,2,2,3,2,2,2,5,5,5,5,5,4,5,5,4,5,1,2,5,5,4,5,4,5,3,5,5,5,3,4,2,6,28,2,1,12,4,1,2,1,2,3,12,1,1,4,8,2,88,0,0,2,0,0,7,1,"",0,0,3,0,2,2,4,4,2,2,3,3,2,3,3,3,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,1,3,-2,-2,-2,-2,-2,-2,0,0,0,0,,,,,,,4,1,3,3,2,2,3,4,2,3,3,20,2,2,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,228,77,158,38,301,32,87,45,23,32,46,41,116,12,98,129,78,9,23,31,14,22,26,44,40,26,43,94,,,,,,,,,,,,,,,,,3,,,,,7,2,2,2,3,3,3,2,3,6,2,6,2,6,6,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,-2,4
145,0.48,3/12/2012,3/13/2012,76,1,4,2,2,2,2,2,4,2,5,5,5,3,6,6,6,2,5,4,3,5,4,2,2,2,2,5,6,3,4,2,5,6,4,7,5,5,4,6,5,5,5,6,7,7,4,5,5,7,7,7,6,7,7,7,6,7,6,7,6,5,6,5,1,3,4,3,1,2,2,3,3,3,3,4,4,3,1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,6,7,6,7,1,3,5,5,5,1,4,2,10,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,3,3,5,,3,,4,,,4,,,6,5,8,8,8,8,8,7,8,7,1,8,7,7,7,8,7,8,7,6,6,1,6,6,1,4,6,7,1,7,3,3,4,2,4,2,5,5,4,3,4,2,3,2,2,2,2,2,2,3,3,5,1,2,3,3,1,4,2,2,2,2,4,2,4,3,4,5,4,4,4,4,4,4,4,4,5,5,4,2,2,5,5,3,4,3,4,3,4,4,5,4,3,1,1,49,4,3,10,3,1,2,1,6,1,16,1,1,4,8,1,88,0,0,5,1,0,2,1,"",0,0,4,1,2,3,2,3,3,3,3,2,2,4,4,2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,1,3,-2,-2,-2,-2,-2,-2,0,0,0,0,,,,,,,1,4,1,1,1,1,1,1,3,4,1,80,2,2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,34,50,151,55,50,224,36,130,48,15,28,40,102,115,24,2705,207,76,11,18,35,9,31,35,47,52,9,41,122,18,,,,,,,,,,,,,,,,5,,,,,4,5,5,3,5,5,3,2,5,1,3,5,1,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,-2,6
146,1.48,3/12/2012,3/13/2012,30,2,3,2,1,2,1,2,2,5,3,5,2,2,2,3,2,3,4,3,4,3,3,4,3,2,2,6,4,4,5,4,4,6,5,5,6,5,5,7,6,6,6,6,6,6,5,5,5,6,5,5,6,6,5,6,5,6,2,5,4,5,5,5,1,3,4,4,2,2,3,3,3,3,3,4,4,-1,1,-1,4,-1,1,-1,-1,-1,-1,-1,-1,7,7,7,5,1,2,4,4,6,6,6,6,8,2,0,1,0,0,0,0,0,1,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,,4,,,,4,5,5,,4,3,,4,4,5,8,8,8,8,1,6,6,8,8,7,8,5,8,8,8,5,6,4,1,6,6,3,4,4,5,4,6,6,2,6,2,4,4,3,4,3,2,2,3,2,4,5,5,2,2,5,4,4,3,2,3,3,4,1,5,2,4,4,4,2,4,1,2,1,1,1,4,4,4,5,5,4,4,4,4,4,1,2,4,4,4,4,4,4,4,4,4,4,3,4,1,6,66,6,4,9,2,1,2,1,3,3,13,2,1,3,5,2,57,0,0,3,0,0,1,1,"",0,0,3,0,4,3,3,3,4,3,3,3,2,4,3,2,3,1,-2,-2,-2,-2,-2,-2,1,1,0,0,0,0,3,2,-2,-2,-2,-2,-2,-2,-2,0,1,0,0,,,,,,,2,2,2,1,2,2,1,-1,4,3,1,46,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,49,98,258,52,177,25,88,24,14,27,50,53,122,34,123,136,68,9,16,30,8,35,29,24,43,21,31,71,,,,,,,,,,,,,,,,,4,,,,,6,4,4,3,4,4,4,2,3,6,6,1,1,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,-2,3
147,0.49,3/12/2012,3/13/2012,36,3,2,3,2,2,2,2,5,3,3,5,5,2,4,6,6,1,3,3,1,6,7,6,6,6,4,6,5,5,4,2,2,2,2,5,6,6,2,2,2,4,2,4,6,3,4,5,6,4,6,5,6,4,4,5,5,6,7,7,7,7,7,7,1,3,3,1,1,5,3,3,4,4,4,2,3,-1,-1,4,-1,1,-1,-1,-1,-1,2,3,-1,5,5,6,2,2,2,5,5,2,2,2,2,11,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,4,4,4,,,,,,,4,4,4,8,8,8,8,8,8,8,1,8,8,1,8,7,8,8,8,8,8,7,6,2,1,4,6,1,5,5,7,1,6,4,2,3,3,2,1,3,2,4,3,2,3,5,1,5,1,4,2,3,5,3,3,5,2,2,3,5,4,6,5,2,1,5,4,3,3,2,2,2,4,4,4,3,5,4,5,5,3,5,2,2,5,4,3,4,2,4,1,2,3,3,2,3,2,7,73,6,4,14,4,1,2,1,2,1,15,1,1,1,1,1,11,0,0,2,0,0,5,1,"In most cases, I don't think it's difficult to figure out what is an ethical way to behave.  In the case of the speeding train, both choices are fraught, and either action carries a tremendous moral weight.",1,0,4,1,4,2,3,3,1,1,3,3,1,4,3,3,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,3,-2,-2,-2,-2,-2,-2,0,0,0,0,,,,,,,2,6,2,2,4,3,6,2,1,4,2,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,23,93,89,36,119,35,69,25,13,22,20,40,87,32,86,111,821,15,15,35,5,26,41,31,58,9,18,62,,,,,,,,,,,,,,,,,108,,,,,12,4,4,2,5,5,1,1,5,6,6,1,4,3,6,12,-2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,7,1,1,3
148,0.28,3/12/2012,3/13/2012,25,3,3,3,2,2,4,3,2,5,5,3,2,2,2,2,2,2,5,4,3,6,3,4,5,6,5,3,3,4,4,4,6,6,4,5,6,6,2,5,6,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,3,1,2,2,2,3,1,3,1,3,4,2,3,2,1,3,4,2,1,1,3,-1,5,6,-1,5,1,1,4,4,5,5,3,3,8,12,0,0,0,0,0,0,0,1,0,0,0,1,0,11,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,,,,3,,,5,5,,2,2,4,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,5,5,4,1,5,5,3,4,5,5,1,5,3,4,4,1,4,2,4,1,5,2,2,4,5,1,2,2,4,3,1,3,2,4,3,2,2,2,3,2,2,3,-1,4,3,4,3,2,4,4,4,3,4,4,3,4,4,5,5,4,5,1,2,4,4,3,3,3,2,4,2,4,4,3,3,2,6,55,5,3,13,4,4,2,1,2,3,19,3,1,4,9,2,93,0,0,2,0,0,2,1,"",0,0,4,1,2,1,3,3,2,1,3,3,3,4,2,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,19,-2,2,2,1,3,3,2,3,4,3,3,3,4,1,4,4,50,2,3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,73,79,107,121,86,83,85,19,15,25,48,38,62,27,107,188,62,4,10,26,4,13,29,24,40,9,22,66,,,,,,,,,,,,,,,,,3,,,,,15,3,4,2,5,2,2,2,4,2,3,6,4,6,1,3,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,3,1,1,2
149,1.51,3/12/2012,3/13/2012,30,3,3,3,3,3,4,3,2,3,3,5,3,3,2,5,3,2,4,1,1,5,7,7,4,4,4,6,6,5,5,2,3,6,3,6,6,6,2,3,5,5,5,5,6,6,5,5,4,6,5,7,7,7,6,6,6,6,5,6,7,3,5,3,1,1,5,2,1,4,2,3,3,2,4,4,3,-1,1,-1,-1,3,-1,-1,-1,-1,2,4,-1,4,5,4,2,1,1,2,2,4,3,1,1,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,4,2,,3,4,2,,,,,2,,5,8,8,8,8,8,8,4,4,4,8,8,4,5,5,8,8,8,7,5,2,1,4,3,2,5,5,7,1,7,1,2,1,2,4,2,3,2,3,4,3,3,5,5,2,3,4,2,5,4,4,3,4,4,3,3,2,5,4,4,2,4,1,4,1,1,1,2,1,4,4,4,4,4,3,2,2,4,1,2,2,4,3,2,4,2,4,3,3,3,4,3,2,2,1,24,1,1,12,4,1,2,0,4,1,18,5,1,1,1,1,14,0,0,4,0,0,7,1,"",0,0,4,0,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,,,,,,,3,3,6,1,2,2,4,2,2,2,2,40,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,34,64,470,39,43,184,15,180,14,10,61,28,20,75,20,71,108,52,4,8,17,4,12,19,19,83,8,28,54,,,,,,,,,,,,,,,,,3,,,,,4,2,2,4,3,5,3,3,1,2,2,2,2,5,5,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,-2,-2,4
150,0.99,3/12/2012,3/13/2012,18,2,2,2,1,3,3,3,1,3,3,5,3,3,1,1,1,3,3,3,3,2,2,1,3,2,3,5,5,5,6,5,4,6,6,6,6,6,6,5,6,7,6,4,4,4,2,4,2,5,3,5,4,4,4,5,4,4,4,5,2,3,1,1,3,3,3,3,3,3,3,4,-1,4,4,5,5,4,-1,1,3,-1,1,1,2,-1,3,1,-1,7,7,6,7,5,6,5,6,6,6,6,6,8,3,0,0,1,0,0,0,0,1,0,0,0,0,0,5,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,,,5,,1,,,4,,3,3,-1,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,4,7,8,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,3,3,2,3,2,2,3,3,4,3,3,3,-1,4,3,3,4,4,4,4,4,3,4,4,3,3,4,3,4,3,3,3,3,3,4,3,4,4,4,3,4,4,3,4,1,2,4,4,4,4,4,4,5,4,4,3,4,4,2,6,63,5,4,9,2,1,2,1,1,3,9,5,1,1,2,2,22,0,0,1,0,0,4,1,"",0,0,2,0,2,1,3,3,1,3,3,3,1,3,3,2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,,,,,,,2,4,4,5,5,4,4,3,4,2,2,1,4,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12,39,133,27,105,25,63,24,20,23,21,19,118,19,86,87,34,6,13,27,5,15,12,38,44,3,17,60,,,,,,,,,,,,,,,,,2,,,,,6,5,5,2,5,3,3,3,3,1,1,1,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3
151,1.49,3/12/2012,3/13/2012,29,3,3,1,2,2,5,3,4,3,2,4,4,4,7,7,7,3,2,5,5,5,5,5,5,4,5,4,4,4,5,4,3,4,5,6,6,5,3,3,7,4,5,5,4,4,5,5,2,6,5,6,7,5,5,4,3,4,5,5,6,5,4,3,3,1,2,2,1,2,5,3,2,1,1,1,2,-1,-1,4,-1,-1,1,2,3,-1,-1,-1,-1,4,7,4,1,1,1,2,2,3,1,2,1,2,9,0,1,0,0,0,0,0,0,1,0,0,0,0,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,,2,,,1,1,2,3,4,,,,8,8,7,4,6,3,5,3,2,3,4,4,4,5,5,5,4,4,7,3,4,1,4,2,2,2,2,5,4,5,3,5,6,1,3,2,3,3,4,2,2,4,4,5,2,2,4,4,1,3,4,3,2,1,4,2,2,2,5,4,3,3,6,1,4,4,3,4,4,2,3,2,3,2,4,4,3,4,3,2,1,5,5,1,4,1,4,1,2,2,3,1,1,1,11,42,3,2,13,4,1,1,0,2,1,19,6,1,1,1,1,14,0,0,2,0,0,4,1,"",0,0,4,0,3,4,3,3,1,1,4,4,2,4,2,2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,1,3,-2,-2,-2,-2,-2,-2,0,0,0,0,,,,,,,4,4,5,1,5,4,5,3,2,5,4,0,2,2,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,101,41,78,42,31,160,32,203,25,23,29,39,28,83,31,301,114,63,4,11,22,6,17,30,23,49,12,27,61,,,,,,,,,,,,,,,,,2,,,,,4,5,5,2,5,5,1,3,1,6,1,4,2,6,1,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,6
152,0.29,3/12/2012,3/13/2012,31,3,4,4,2,2,4,4,1,3,3,4,2,2,1,1,1,4,4,3,4,7,1,1,7,7,7,5,4,4,4,1,3,4,6,6,6,6,3,5,6,5,7,5,6,5,5,5,5,5,6,6,7,6,6,6,6,6,3,6,6,6,4,6,3,4,3,3,1,2,2,2,4,2,2,1,4,1,-1,4,-1,-1,-1,-1,2,-1,-1,-1,3,7,7,7,3,1,3,5,4,6,6,3,4,8,9,0,0,0,0,0,0,0,1,1,0,0,0,0,11,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,5,3,,,,4,,5,4,,3,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,7,3,1,5,5,1,5,5,7,1,7,2,4,2,1,2,2,5,1,5,4,4,4,5,5,5,3,3,3,4,2,3,3,5,2,2,3,4,4,1,3,3,4,2,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,2,5,4,2,3,5,3,5,4,3,3,2,4,1,6,48,4,3,14,4,1,2,1,4,1,18,1,1,4,8,1,84,0,0,2,0,2,1,1,"",0,1,4,1,4,2,3,4,2,3,2,3,1,4,2,3,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,,,,,,,4,2,4,2,2,2,2,2,2,4,3,50,2,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,64,90,41,45,136,83,107,45,15,47,42,51,116,30,108,211,124,7,16,31,6,63,26,25,80,15,23,80,,6,4,5,28,,,,,,,,,,,,2,,,,,4,5,5,1,2,2,2,1,1,1,1,4,2,2,3,11,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,2,1,2,2
